 INFO:2024-11-06 20:55:54,869:pip_viz.py:52:pip-viz start
 DEBUG:2024-11-06 20:55:54,870:pip_viz.py:59:args=['pip', 'list', '--format', 'json']
 DEBUG:2024-11-06 20:55:56,761:pip_viz.py:100:args=['pip', 'show', 'backports.tarfile']
 DEBUG:2024-11-06 20:55:58,137:pip_viz.py:100:args=['pip', 'show', 'build']
 DEBUG:2024-11-06 20:55:59,494:pip_viz.py:100:args=['pip', 'show', 'certifi']
 DEBUG:2024-11-06 20:56:00,832:pip_viz.py:100:args=['pip', 'show', 'cffi']
 DEBUG:2024-11-06 20:56:02,205:pip_viz.py:100:args=['pip', 'show', 'charset-normalizer']
 DEBUG:2024-11-06 20:56:03,554:pip_viz.py:100:args=['pip', 'show', 'cryptography']
 DEBUG:2024-11-06 20:56:04,929:pip_viz.py:100:args=['pip', 'show', 'docutils']
 DEBUG:2024-11-06 20:56:06,274:pip_viz.py:100:args=['pip', 'show', 'exceptiongroup']
 DEBUG:2024-11-06 20:56:07,640:pip_viz.py:100:args=['pip', 'show', 'graphviz']
 DEBUG:2024-11-06 20:56:08,989:pip_viz.py:100:args=['pip', 'show', 'idna']
 DEBUG:2024-11-06 20:56:10,379:pip_viz.py:100:args=['pip', 'show', 'importlib-metadata']
 DEBUG:2024-11-06 20:56:11,729:pip_viz.py:100:args=['pip', 'show', 'importlib-resources']
 DEBUG:2024-11-06 20:56:13,078:pip_viz.py:100:args=['pip', 'show', 'iniconfig']
 DEBUG:2024-11-06 20:56:14,424:pip_viz.py:100:args=['pip', 'show', 'jaraco.classes']
 DEBUG:2024-11-06 20:56:15,769:pip_viz.py:100:args=['pip', 'show', 'jaraco.context']
 DEBUG:2024-11-06 20:56:17,125:pip_viz.py:100:args=['pip', 'show', 'jaraco.functools']
 DEBUG:2024-11-06 20:56:18,467:pip_viz.py:100:args=['pip', 'show', 'jeepney']
 DEBUG:2024-11-06 20:56:19,811:pip_viz.py:100:args=['pip', 'show', 'keyring']
 DEBUG:2024-11-06 20:56:21,174:pip_viz.py:100:args=['pip', 'show', 'markdown-it-py']
 DEBUG:2024-11-06 20:56:22,537:pip_viz.py:100:args=['pip', 'show', 'mdurl']
 DEBUG:2024-11-06 20:56:23,885:pip_viz.py:100:args=['pip', 'show', 'more-itertools']
 DEBUG:2024-11-06 20:56:25,244:pip_viz.py:100:args=['pip', 'show', 'nh3']
 DEBUG:2024-11-06 20:56:26,604:pip_viz.py:100:args=['pip', 'show', 'packaging']
 DEBUG:2024-11-06 20:56:27,968:pip_viz.py:100:args=['pip', 'show', 'pip']
 DEBUG:2024-11-06 20:56:29,334:pip_viz.py:100:args=['pip', 'show', 'pkg-resources']
 DEBUG:2024-11-06 20:56:30,675:pip_viz.py:100:args=['pip', 'show', 'pkginfo']
 DEBUG:2024-11-06 20:56:32,035:pip_viz.py:100:args=['pip', 'show', 'pluggy']
 DEBUG:2024-11-06 20:56:33,378:pip_viz.py:100:args=['pip', 'show', 'pycparser']
 DEBUG:2024-11-06 20:56:34,728:pip_viz.py:100:args=['pip', 'show', 'pygments']
 DEBUG:2024-11-06 20:56:36,095:pip_viz.py:100:args=['pip', 'show', 'pyproject-hooks']
 DEBUG:2024-11-06 20:56:37,440:pip_viz.py:100:args=['pip', 'show', 'pytest']
 DEBUG:2024-11-06 20:56:38,799:pip_viz.py:100:args=['pip', 'show', 'readme-renderer']
 DEBUG:2024-11-06 20:56:40,176:pip_viz.py:100:args=['pip', 'show', 'requests']
 DEBUG:2024-11-06 20:56:41,522:pip_viz.py:100:args=['pip', 'show', 'requests-toolbelt']
 DEBUG:2024-11-06 20:56:42,873:pip_viz.py:100:args=['pip', 'show', 'rfc3986']
 DEBUG:2024-11-06 20:56:44,216:pip_viz.py:100:args=['pip', 'show', 'rich']
 DEBUG:2024-11-06 20:56:45,579:pip_viz.py:100:args=['pip', 'show', 'SecretStorage']
 DEBUG:2024-11-06 20:56:46,926:pip_viz.py:100:args=['pip', 'show', 'setuptools']
 DEBUG:2024-11-06 20:56:48,313:pip_viz.py:100:args=['pip', 'show', 'tomli']
 DEBUG:2024-11-06 20:56:49,673:pip_viz.py:100:args=['pip', 'show', 'twine']
 DEBUG:2024-11-06 20:56:51,012:pip_viz.py:100:args=['pip', 'show', 'typing-extensions']
 DEBUG:2024-11-06 20:56:52,360:pip_viz.py:100:args=['pip', 'show', 'urllib3']
 DEBUG:2024-11-06 20:56:53,717:pip_viz.py:100:args=['pip', 'show', 'zipp']
 DEBUG:2024-11-06 20:56:55,072:saving.py:78:write lines to 'dependencies.gv'
 DEBUG:2024-11-06 20:56:55,074:execute.py:61:run [PosixPath('dot'), '-Kdot', '-Tsvg', '-O', 'dependencies.gv']
 INFO:2024-11-06 21:09:12,246:pip_viz.py:52:pip-viz start
 DEBUG:2024-11-06 21:09:12,246:pip_viz.py:59:args=['pip', 'list', '--format', 'json']
 DEBUG:2024-11-06 21:09:13,610:pip_viz.py:100:args=['pip', 'show', 'backports.tarfile']
 DEBUG:2024-11-06 21:09:14,976:pip_viz.py:100:args=['pip', 'show', 'build']
 DEBUG:2024-11-06 21:09:16,335:pip_viz.py:100:args=['pip', 'show', 'certifi']
 DEBUG:2024-11-06 21:09:17,687:pip_viz.py:100:args=['pip', 'show', 'cffi']
 DEBUG:2024-11-06 21:09:19,030:pip_viz.py:100:args=['pip', 'show', 'charset-normalizer']
 DEBUG:2024-11-06 21:09:20,380:pip_viz.py:100:args=['pip', 'show', 'cryptography']
 DEBUG:2024-11-06 21:09:21,723:pip_viz.py:100:args=['pip', 'show', 'docutils']
 DEBUG:2024-11-06 21:09:23,083:pip_viz.py:100:args=['pip', 'show', 'exceptiongroup']
 DEBUG:2024-11-06 21:09:24,419:pip_viz.py:100:args=['pip', 'show', 'graphviz']
 DEBUG:2024-11-06 21:09:25,773:pip_viz.py:100:args=['pip', 'show', 'idna']
 DEBUG:2024-11-06 21:09:27,115:pip_viz.py:100:args=['pip', 'show', 'importlib-metadata']
 DEBUG:2024-11-06 21:09:28,472:pip_viz.py:100:args=['pip', 'show', 'importlib-resources']
