time;Lat;Lon;length;width;min_lon;max_lon;min_lat;max_lat;min_max_zeta_850_lat;min_max_zeta_850_lon;min_max_zeta_850;min_hgt_850_lat;min_hgt_850_lon;min_hgt_850;max_wind_850_lat;max_wind_850_lon;max_wind_850
2008-08-15-2100;-45.655342;-56.865752999999984;15;15;-64.36575299999998;-49.365752999999984;-53.155342;-38.155342;-51.5;-50.0;-0.0003246723134854842;-48.75;-64.25;1169.651123046875;-49.75;-49.5;38.87834167480469
2008-08-16-0000;-45.419342;-54.98226899999997;15;15;-62.48226899999997;-47.48226899999997;-52.919342;-37.919342;-49.0;-60.75;-0.0002990046375196185;-49.5;-60.0;1175.6053466796875;-45.25;-57.25;36.70249938964844
2008-08-16-0300;-45.154839;-53.51986699999998;15;15;-61.01986699999998;-46.01986699999998;-52.654839;-37.654839;-49.75;-57.75;-0.0003340350623389039;-50.0;-57.0;1168.9053955078125;-46.0;-52.0;35.34934616088867
2008-08-16-0600;-44.942696;-52.15872200000001;15;15;-59.65872200000001;-44.65872200000001;-52.442696;-37.442696;-51.25;-52.25;-0.0004605341223132116;-50.5;-55.0;1160.718994140625;-45.0;-51.75;36.85340118408203
2008-08-16-0900;-44.612419;-51.078033000000005;15;15;-58.578033000000005;-43.578033000000005;-52.112419;-37.112419;-52.0;-49.5;-0.0005134092390664495;-50.75;-53.25;1160.718994140625;-48.75;-46.0;37.36861038208008
2008-08-16-1200;-44.816666;-49.746887000000015;15;15;-57.246887000000015;-42.246887000000015;-52.316666;-37.316666;-51.0;-51.0;-0.0004914245179196702;-52.25;-48.25;1156.2530517578125;-50.75;-42.25;39.76449203491211
2008-08-16-1500;-45.097359;-48.01998900000001;15;15;-55.51998900000001;-40.51998900000001;-52.597359;-37.597359;-52.5;-46.5;-0.0004660342205473065;-52.5;-46.25;1167.4173583984375;-51.25;-40.75;42.43671798706055
2008-08-16-1800;-45.066734;-46.08575400000001;15;15;-53.58575400000001;-38.58575400000001;-52.566734;-37.566734;-52.5;-44.75;-0.00034014892909419695;-52.5;-44.75;1189.00341796875;-50.75;-38.75;40.00031280517578
2008-08-16-2100;-45.632126;-43.37472500000001;15;15;-50.87472500000001;-35.87472500000001;-53.132126;-38.132126;-40.25;-36.75;-0.00041250547475203626;-53.0;-42.0;1205.3778076171875;-51.75;-36.0;37.09174346923828
2008-08-17-0000;-46.06572;-40.66210899999999;15;15;-48.16210899999999;-33.16210899999999;-53.56572;-38.56572;-40.75;-35.75;-0.0003830022133121867;-53.5;-38.25;1225.4742431640625;-40.5;-33.25;35.517086029052734
2008-08-17-0300;-47.040901;-38.50134300000002;15;15;-46.00134300000002;-31.00134300000002;-54.540901;-39.540901;-43.25;-33.0;-0.00033530276690415313;-54.5;-35.75;1234.40625;-41.75;-31.25;36.919898986816406
2008-08-17-0600;-50.109959;-34.48187300000001;15;15;-41.98187300000001;-26.981873000000007;-57.609959;-42.609959;-44.75;-31.25;-0.00030821839920464056;-57.5;-27.0;1203.1456298828125;-43.0;-29.25;36.15529251098633
2008-08-17-0900;-51.638172;-31.250091999999995;15;15;-38.750091999999995;-23.750091999999995;-59.138172;-44.138172;-46.0;-29.25;-0.0002989084743623259;-59.0;-38.75;1212.0760498046875;-44.75;-27.25;36.630558013916016
2008-08-17-1200;-53.520981;-27.445923;15;15;-34.945923;-19.945923;-61.020981;-46.020981;-47.5;-27.25;-0.00021899691194951967;-61.0;-34.75;1190.4915771484375;-46.25;-25.0;35.77522277832031
2008-08-17-1500;-55.407028;-23.273375999999985;15;15;-30.773375999999985;-15.773375999999985;-62.907028;-47.907028;-49.0;-24.5;-0.00018091834820709162;-62.75;-30.75;1176.349365234375;-48.0;-23.0;32.44891357421875
2008-08-17-1800;-57.228855;-19.45727499999998;15;15;-26.95727499999998;-11.957274999999981;-64.72885500000001;-49.728855;-50.25;-21.75;-0.00013015404575503542;-64.5;-26.75;1155.5089111328125;-49.75;-20.25;27.811227798461914
2008-08-17-2100;-58.78727;-16.033051;15;15;-23.533051;-8.533051;-66.28727;-51.28727;-54.5;-18.0;-0.00011248354791697741;-66.25;-23.5;1126.48046875;-53.25;-13.75;28.030975341796875
2008-08-18-0000;-60.046684;-13.021056999999985;15;15;-20.521056999999985;-5.521056999999985;-67.546684;-52.546684;-54.75;-15.25;-0.00013837027494083875;-67.5;-20.5;1116.802734375;-53.0;-9.75;29.18342399597168
2008-08-18-0300;-61.6488;-10.606873000000007;15;15;-18.106873000000007;-3.1068730000000073;-69.1488;-54.1488;-55.5;-11.75;-0.00011481805064020577;-69.0;-18.0;1093.7301025390625;-69.0;-18.0;25.26080322265625
2008-08-18-0600;-63.015797;-8.552031999999997;15;15;-16.052031999999997;-1.052031999999997;-70.51579699999999;-55.515797;-70.5;-6.5;-0.00011653113316755404;-70.5;-16.0;1079.587890625;-70.25;-16.0;23.306190490722656
2008-08-18-0900;-64.466896;-7.365233999999987;15;15;-14.865233999999987;0.13476600000001326;-71.966896;-56.966896000000006;-71.75;-7.5;-0.0002555094830687521;-71.75;-14.75;1081.0760498046875;-57.0;-14.75;22.96518898010254
2008-08-18-1200;-65.538994;-6.474181999999985;15;15;-13.974181999999985;1.0258180000000152;-73.038994;-58.038994;-72.75;-11.0;-0.00025757272030465074;-73.0;-13.75;1092.9859619140625;-59.75;-13.5;29.007896423339844
2008-08-18-1500;-66.168434;-6.813324000000023;15;15;-14.313324000000023;0.6866759999999772;-73.668434;-58.668434000000005;-60.5;-14.25;-0.000300557384068143;-60.5;-14.25;1003.6668090820312;-61.0;-11.5;37.3485107421875
2008-08-18-1800;-66.682915;-6.735961999999972;15;15;-14.235961999999972;0.7640380000000278;-74.182915;-59.182914999999994;-62.0;-14.0;-0.00036852333342503947;-61.5;-14.0;906.15966796875;-62.0;-8.25;42.428775787353516
2008-08-18-2100;-67.006386;-6.88046300000002;15;15;-14.38046300000002;0.6195369999999798;-74.506386;-59.506386000000006;-63.25;-14.0;-0.0004207921262199471;-62.5;-14.25;808.654052734375;-62.75;-3.5;49.28166198730469
2008-08-19-0000;-67.157906;-7.4379579999999805;15;15;-14.93795799999998;0.06204200000001947;-74.657906;-59.657906;-62.75;-12.75;-0.0004604408299688236;-63.5;-12.75;718.5908203125;-64.0;-1.0;50.82565689086914
2008-08-19-0300;-67.100349;-8.406615999999985;15;15;-15.906615999999985;-0.9066159999999854;-74.600349;-59.600348999999994;-65.25;-12.0;-0.0005299877697919704;-64.75;-11.25;663.5117797851562;-65.75;-1.5;53.307472229003906
2008-08-19-0600;-66.88076;-8.478728999999987;15;15;-15.978728999999987;-0.9787289999999871;-74.38076;-59.380759999999995;-65.75;-12.0;-0.0005719756823745119;-65.5;-10.0;617.36328125;-67.0;-1.0;47.80876922607422
