TIPLOC_select_list,TOC_select_list,Train_select_list,TIPLOC_remove_list
BARKING,SR,10,KNGSBYJ
ACTONML,SW,11,LNDRSTJ
,,12,BHAMNWS
,,13,
,,14,
,,15,
,,16,
,,17,
,,18,
,,19,
,,20,
,,21,
,,22,
,,23,
,,24,
,,25,
