Year,S&P 500,3-month T.Bill,US T. Bond (10-year),Baa Corporate Bond,Real Estate,Gold,Inflation Rate,S&P 500 Real Returns,3-month T. Bill Real Returns,10-year T.Bonds Real Returns,Baa Corp Bonds Real Returns,Real Estate Real Returns,Gold Real Returns
1928,0.43810000000000004,0.0308,0.0084,0.0322,0.0149,0.001,-0.0116,0.4549,0.0429,0.020099999999999996,0.0443,0.0268,0.0127
1929,-0.083,0.0316,0.042,0.0302,-0.0206,-0.0015,0.0058,-0.0883,0.0256,0.036000000000000004,0.0242,-0.0263,-0.0073
1930,-0.25120000000000003,0.0455,0.0454,0.0054,-0.043,0.001,-0.064,-0.20010000000000003,0.11689999999999999,0.1168,0.0741,0.022400000000000003,0.0694
1931,-0.4384,0.0231,-0.0256,-0.1568,-0.0815,-0.17379999999999998,-0.0932,-0.3807,0.1282,0.0745,-0.0702,0.0129,-0.08900000000000001
1932,-0.0864,0.010700000000000001,0.08789999999999999,0.2359,-0.1047,0.21280000000000002,-0.1027,0.0182,0.1264,0.2125,0.3774,-0.0021,0.35159999999999997
1933,0.49979999999999997,0.0096,0.018600000000000002,0.1297,-0.0381,0.2726,0.0076,0.4885,0.002,0.0108,0.1211,-0.0454,0.263
1934,-0.011899999999999999,0.0028000000000000004,0.0796,0.1882,0.0291,0.3175,0.0152,-0.026600000000000002,-0.012199999999999999,0.0635,0.1704,0.0137,0.2978
1935,0.46740000000000004,0.0017000000000000001,0.0447,0.1331,0.0977,0.0043,0.029900000000000003,0.4249,-0.0274,0.0144,0.1002,0.0658,-0.0248
1936,0.3194,0.0017000000000000001,0.050199999999999995,0.11380000000000001,0.0322,0.0009,0.014499999999999999,0.3006,-0.0126,0.0352,0.09789999999999999,0.0174,-0.0134
1937,-0.35340000000000005,0.0028000000000000004,0.0138,-0.044199999999999996,0.0256,-0.0023,0.0286,-0.3713,-0.025099999999999997,-0.0144,-0.0707,-0.0029,-0.03
1938,0.2928,0.0007000000000000001,0.0421,0.0924,-0.0087,0.0017000000000000001,-0.0278,0.3298,0.0292,0.0719,0.12359999999999999,0.0196,0.030299999999999997
1939,-0.011000000000000001,0.0005,0.0441,0.07980000000000001,-0.013000000000000001,-0.0123,0.0,-0.011000000000000001,0.0005,0.0441,0.07980000000000001,-0.013000000000000001,-0.0123
1940,-0.1067,0.0004,0.054000000000000006,0.08650000000000001,0.0331,-0.0166,0.0070999999999999995,-0.1131,-0.0067,0.04650000000000001,0.0788,0.025699999999999997,-0.0235
1941,-0.1277,0.0013,-0.0202,0.0501,-0.08380000000000001,0.0,0.0993,-0.2065,-0.0891,-0.10869999999999999,-0.044800000000000006,-0.1666,-0.09029999999999999
1942,0.1917,0.0034000000000000002,0.0229,0.0518,0.0333,0.0,0.09029999999999999,0.09300000000000001,-0.0797,-0.061799999999999994,-0.0353,-0.052300000000000006,-0.0828
1943,0.2506,0.0038,0.024900000000000002,0.08039999999999999,0.11449999999999999,0.0,0.0296,0.2147,-0.025,-0.0046,0.049400000000000006,0.0824,-0.0287
1944,0.19030000000000002,0.0038,0.0258,0.06570000000000001,0.16579999999999998,0.0,0.023,0.1636,-0.018799999999999997,0.0027,0.0417,0.1396,-0.0225
