Atomic Number,Oxidation State,Coordination Number,Shannon,ML Mean,ML Standard Deviation
3,1,1,,45.93,4.79
3,1,2,,49.84,4
3,1,3,,54.21,3.15
3,1,4,59,59.74,2.22
3,1,5,,67.16,1.25
3,1,6,76,75.66,0.98
3,1,7,,84.05,0.94
3,1,8,92,91.81,0.94
3,1,9,,98.64,1.06
3,1,10,,104.76,1.21
3,1,12,,115.93,1.5
4,2,3,16,16.24,0.65
4,2,4,27,26.69,0.61
4,2,5,,36.36,0.63
4,2,6,45,44.95,0.54
5,3,3,1,1.5,1.16
5,3,4,11,10.92,0.39
5,3,5,,19.59,0.6
5,3,6,27,26.69,0.84
6,2,1,,6.4,1.97
6,2,2,,11.45,1.69
6,3,2,,1.86,3.17
6,3,3,,4.57,1.46
6,4,3,,8.51,1.7
6,4,4,15,14.72,1.32
6,4,6,16,16.59,1.77
7,-3,4,146,145.47,1.31
7,3,6,16,16.66,2.3
7,5,6,13,13.38,1.04
8,-2,2,135,134.78,0.49
8,-2,3,136,136.22,0.31
8,-2,4,138,137.91,0.24
8,-2,6,140,139.96,0.21
8,-2,8,142,142.45,1.36
9,-1,2,128.5,128.21,0.73
9,-1,3,130,129.99,0.33
9,-1,4,131,131.06,0.23
9,-1,6,133,133.15,0.47
9,7,6,8,7.65,1.03
11,1,1,,88.49,3.63
11,1,2,,93.04,2.54
11,1,3,,96.53,1.59
11,1,4,99,98.7,0.89
11,1,5,100,99.81,0.58
11,1,6,102,102.87,1.05
11,1,7,112,111.34,0.85
11,1,8,118,118.21,0.56
11,1,9,124,124.08,0.49
11,1,10,,129.56,0.52
11,1,11,,134.56,0.57
11,1,12,139,139.25,0.75
12,2,3,,48.13,1.21
12,2,4,57,57.24,0.62
12,2,5,66,65.69,0.48
12,2,6,72,72.45,0.75
12,2,7,,80.2,0.93
12,2,8,89,88.4,1.38
12,2,9,,95.68,1.72
13,3,3,,29.75,0.81
13,3,4,39,39.15,0.49
13,3,5,48,47.65,0.53
13,3,6,53.5,53.73,0.53
13,3,7,,59.57,0.82
14,4,4,26,26.19,0.56
14,4,5,,33.63,0.41
14,4,6,40,40.12,0.4
14,4,8,,51.96,0.87
15,3,3,,28.98,1.06
15,3,6,44,44.47,1.2
15,4,3,,16.67,1.05
15,4,4,,23.84,0.68
15,5,4,17,17.63,1.25
15,5,5,29,28.74,0.57
15,5,6,38,37.81,0.68
16,-2,6,184,184.4,1
16,2,1,,49.97,1.87
16,2,2,,54.33,1.63
16,2,3,,58.58,1.48
16,2,4,,62.8,1.43
16,3,3,,32.44,1.15
16,4,2,,11.79,1.24
16,4,3,,17.73,0.93
16,4,6,37,37.12,0.52
16,5,3,,8.61,1.17
16,5,6,,35.13,0.69
16,6,4,12,11.85,0.56
16,6,6,29,29.47,1.05
17,-1,6,181,180.61,1.93
17,1,1,,94.06,2
17,1,2,,99.09,1.83
17,4,2,,17.05,0.98
17,5,2,,5.29,0.77
17,5,3,12,12.1,0.52
17,7,4,8,8.4,1.05
17,7,6,27,26.57,1.08
19,1,1,,125.41,4.6
19,1,2,,130.93,3.8
19,1,3,,134.78,2.96
19,1,4,137,136.48,2.01
19,1,5,,136.5,1.49
19,1,6,138,138.81,1.4
19,1,7,146,145.55,0.71
19,1,8,151,151,0.36
19,1,9,155,155.1,0.19
19,1,10,159,158.82,0.31
19,1,11,,161.67,0.38
19,1,12,164,164.19,0.54
19,1,13,,167.04,0.84
20,2,1,,62.84,4.2
20,2,2,,71.18,3.33
20,2,3,,79.24,2.33
20,2,4,,86.79,1.34
20,2,5,,93.68,0.54
20,2,6,100,99.98,0.15
20,2,7,106,105.99,0.08
20,2,8,112,112.02,0.09
20,2,9,118,117.89,0.16
20,2,10,123,123.11,0.22
20,2,11,,128.36,0.43
20,2,12,134,133.65,0.8
21,2,6,,93.66,0.6
21,3,2,,41.86,1.58
21,3,5,,66.48,0.81
21,3,6,74.5,74.11,0.78
21,3,7,,80.84,0.51
21,3,8,87,87.19,0.46
21,3,9,,93.49,0.53
21,3,10,,99.57,0.57
22,2,4,,72.16,1.01
22,2,5,,78.82,0.71
22,2,6,86,85.67,0.69
22,3,5,,60.07,0.56
22,3,6,67,67.32,0.61
22,3,7,,74.94,0.54
22,4,1,,14.94,1.33
22,4,2,,23.8,1
22,4,3,,32.94,0.74
22,4,4,42,42.14,0.56
22,4,5,51,51.29,0.48
22,4,6,60.5,60.28,0.39
22,4,8,74,74.11,0.52
22,4,9,,79.64,0.75
22,4,10,,84.64,0.97
23,2,6,79,79.35,0.74
23,3,3,,42.22,0.71
23,3,4,,49.66,0.61
23,3,5,,56.66,0.56
23,3,6,64,63.68,0.58
23,4,1,,13.96,1.17
23,4,2,,23.41,0.87
23,4,3,,33.38,0.75
23,4,4,,43.49,0.97
23,4,5,53,52.36,1
23,4,6,58,58.44,0.68
23,4,8,72,71.4,1.27
23,5,1,,4.8,1.15
23,5,2,,14.64,0.87
23,5,3,,25.03,0.61
23,5,4,35.5,35.69,0.38
23,5,5,46,45.89,0.32
23,5,6,54,53.75,0.53
23,5,8,,63.17,1.39
24,2,3,,57.7,0.68
24,2,4,,65.52,0.45
24,2,5,,72.89,0.43
24,2,6,80,80.17,0.48
24,2,7,,87.88,0.48
24,2,8,,95.51,0.57
