Atomic Number,Oxidation State,Coordination Number,Shannon,ML Mean,ML Standard Deviation
24,3,2,,32.71,0.81
24,3,4,,48.77,0.5
24,3,6,61.5,61.87,0.67
24,3,7,,69.31,0.69
24,3,9,,84.75,1.09
24,3,10,,91.71,1.23
24,4,4,41,41.03,0.44
24,4,5,,48.74,0.45
24,4,6,55,54.9,0.44
24,5,3,,24.66,0.42
24,5,4,34.5,34.4,0.23
24,5,5,,42.72,0.28
24,5,6,49,49.01,0.29
24,5,8,57,57.83,2.16
24,6,4,26,26.17,0.4
24,6,5,,35.56,0.5
24,6,6,44,44.29,0.68
25,2,2,,46.95,0.79
25,2,3,,56.55,0.38
25,2,4,66,66.01,0.15
25,2,5,75,74.89,0.2
25,2,6,83,82.83,0.29
25,2,7,90,89.79,0.38
25,2,8,96,95.92,0.39
25,2,9,,101.96,0.51
25,2,10,,108.17,0.68
25,2,12,,120.54,1
25,3,4,,49.8,0.4
25,3,5,58,57.81,0.33
25,3,6,64.5,64.5,0.18
25,3,7,,71.09,0.34
25,3,8,,77.89,0.58
25,3,12,,103.08,1.33
25,4,4,39,39.28,0.6
25,4,5,,47.08,0.73
25,4,6,53,53.57,1.11
25,5,4,33,32.86,0.33
25,6,4,25.5,25.56,0.28
25,7,4,25,25,0.61
25,7,6,46,45.41,1.7
26,1,2,,58.72,1.14
26,2,2,,43.31,0.73
26,2,3,,53.29,0.37
26,2,4,63,62.93,0.18
26,2,5,,71.32,0.43
26,2,6,78,78.4,0.69
26,2,7,,85.48,0.52
26,2,8,92,92.3,0.58
26,2,9,,99.24,0.69
26,2,10,,105.99,0.85
26,2,12,,118.67,1.13
26,3,3,,39.9,0.65
26,3,4,49,49.22,0.4
26,3,5,58,57.81,0.25
26,3,6,64.5,64.62,0.24
26,3,7,,71.14,0.34
26,3,8,78,77.76,0.56
26,4,4,,40.78,0.82
26,4,5,,49.85,1.26
26,4,6,58.5,57.6,1.75
26,5,4,,32.31,0.51
26,6,4,25,25.27,0.66
27,1,2,,51.79,1.04
27,2,2,,39.18,0.76
27,2,3,,48.76,0.42
27,2,4,58,58.1,0.22
27,2,5,67,66.82,0.3
27,2,6,74.5,74.25,0.45
27,2,7,,81.57,0.61
27,2,8,90,89.52,1
27,2,9,,97.04,1.21
27,3,1,,19.5,1.25
27,3,3,,38.27,0.69
27,3,4,,46.92,0.49
27,3,5,,54.48,0.38
27,3,6,61,61.2,0.4
27,3,7,,68.31,0.44
27,4,4,40,39.65,0.85
27,4,5,,47.12,0.9
27,4,6,53,53.52,1.34
28,1,2,,46.75,1.15
28,2,2,,36.97,0.81
28,2,3,,46.3,0.38
28,2,4,55,55.08,0.19
28,2,5,63,62.87,0.27
28,2,6,69,69.57,0.85
28,2,7,,77.87,1.02
28,2,8,,86.79,1.17
28,2,9,,95.14,1.39
28,3,4,,45.93,0.55
28,3,6,60,60.11,0.37
28,4,6,48,51.09,1.59
29,1,2,46,45.55,1.32
29,1,3,,53.26,1.18
29,1,4,60,60.63,1.38
29,1,5,,68.74,1
29,1,6,77,77.48,1.16
29,1,7,,87.24,1.46
29,1,8,,97.34,1.58
29,1,9,,107.02,1.65
29,1,10,,115.86,1.72
29,2,2,,37.8,0.86
29,2,3,,47.71,0.38
29,2,4,57,56.92,0.18
29,2,5,65,65.04,0.22
29,2,6,73,72.62,0.62
29,2,7,,79.94,0.79
29,2,8,,87.76,1.02
29,2,9,,95.45,1.32
29,2,10,,102.53,1.52
29,2,12,,115.16,1.65
29,3,4,,47.14,0.61
29,3,5,,54.94,0.52
29,3,6,54,62.06,0.52
29,3,8,,75.77,0.88
29,3,12,,100.25,1.55
30,2,1,,29.49,1.52
30,2,2,,39.9,0.98
30,2,3,,50.26,0.61
30,2,4,60,59.86,0.45
30,2,5,68,67.79,0.37
30,2,6,74,74.34,0.53
30,2,7,,81.74,0.7
30,2,8,90,89.54,1.17
30,2,9,,96.65,1.55
31,3,4,47,47.18,0.36
31,3,5,55,54.96,0.14
31,3,6,62,62.02,0.13
31,3,7,,68.75,0.33
31,3,8,,75.41,0.65
32,2,3,,52.8,1.5
32,2,6,73,73.44,1.18
32,3,4,,46.32,0.75
32,4,3,,31.16,0.53
32,4,4,39,38.98,0.28
32,4,5,,46.16,0.52
32,4,6,53,52.63,0.84
32,4,7,,58.37,0.94
32,4,8,,64.01,0.97
33,3,3,,41.22,1.59
33,3,4,,47.29,1.15
33,3,5,,52.76,0.95
33,3,6,58,58.39,1.02
33,5,3,,25.74,0.77
33,5,4,33.5,33.32,0.48
33,5,5,,39.97,0.35
33,5,6,46,45.93,0.36
33,5,8,,57.26,0.81
34,-2,6,198,198.14,0.62
34,2,1,,52.27,2.94
34,2,2,,59.56,2.41
34,2,3,,66.47,1.89
34,2,8,,99.85,1.47
34,4,1,,18.71,3.13
34,4,3,,33.22,1.42
34,4,4,,39.69,1.15
34,4,5,,45.31,1.47
34,4,6,50,50.68,1.84
34,4,7,,56.83,1.94
34,4,8,,63.73,1.88
34,4,9,,71.11,1.78
34,6,3,,21.04,0.65
34,6,4,28,28.18,0.47
34,6,5,,35.21,0.34
34,6,6,42,41.9,0.34
35,-1,6,196,195.56,1.6
35,1,2,,99.14,2.36
35,3,4,59,59.15,0.89
35,5,3,31,30.31,1.68
35,5,6,,49.27,1.66
35,7,4,25,25.26,0.65
35,7,6,39,38.74,0.67
37,1,1,,113.78,5.4
37,1,2,,122.98,4.41
37,1,3,,131.67,3.28
37,1,4,,139.52,2.15
37,1,5,,146.25,1.24
37,1,6,152,151.71,0.63
37,1,7,156,156.21,0.36
37,1,8,161,160.6,0.48
37,1,9,163,163.19,0.28
37,1,10,166,165.96,0.16
37,1,11,169,168.92,0.18
37,1,12,172,172.2,0.38
37,1,13,,176.9,0.82
37,1,14,183,182.36,1.64
38,2,1,,86.53,3.87
38,2,2,,94.82,2.99
38,2,3,,102.48,2.06
38,2,4,,109.07,1.22
38,2,5,,114.22,0.61
38,2,6,118,117.95,0.38
38,2,7,121,121.29,0.43
38,2,8,126,125.98,0.18
38,2,9,131,131.06,0.11
38,2,10,136,135.94,0.21
38,2,11,,140.18,0.57
38,2,12,144,144.48,1.06
39,2,6,,111.32,0.49
39,3,2,,63.23,1.47
39,3,3,,70.5,0.94
39,3,4,,77.32,0.55
39,3,5,,83.73,0.34
39,3,6,90,89.9,0.26
39,3,7,96,95.94,0.21
39,3,8,101.9,101.85,0.2
39,3,9,107.5,107.43,0.22
39,3,10,,112.58,0.28
39,3,12,,122.3,0.73
40,4,4,59,58.91,0.26
40,4,5,66,65.94,0.14
40,4,6,72,72.07,0.1
40,4,7,78,78.04,0.09
40,4,8,84,83.89,0.14
40,4,9,89,89.14,0.26
40,4,10,,94.37,0.45
41,2,4,,80.67,1.33
41,2,5,,86.51,1.23
41,2,6,,92.76,1.18
41,3,4,,61.39,0.91
41,3,5,,66.68,1.02
41,3,6,72,72.43,1.1
41,4,4,,54.85,0.31
41,4,5,,61.81,0.24
41,4,6,68,67.89,0.21
41,4,8,79,78.99,0.15
41,5,4,48,48.15,0.36
41,5,5,,56.62,0.37
41,5,6,64,63.77,0.38
41,5,7,69,69.13,0.36
41,5,8,74,74.28,0.71
42,3,6,69,69.13,0.72
42,4,6,65,65.04,0.18
42,5,1,,19.74,1.04
42,5,3,,37.39,0.37
42,5,4,46,45.99,0.18
42,5,5,,53.97,0.28
42,5,6,61,61.19,0.35
42,6,2,,22.67,0.94
42,6,3,,31.76,0.69
42,6,4,41,40.89,0.51
42,6,5,50,49.83,0.58
42,6,6,59,59.74,1.04
42,6,7,73,72.07,2.03
42,6,8,,80.71,3.19
43,4,6,64.5,64.29,0.4
43,5,6,60,59.8,0.36
43,7,4,37,37.17,0.47
43,7,5,,46.57,0.74
43,7,6,56,56.43,1.13
43,7,8,,75.28,2.34
44,3,4,,53.45,0.89
44,3,6,68,67.65,1.05
44,4,6,62,61.98,0.17
44,4,7,,68.49,0.31
44,4,8,,74.74,0.57
44,5,4,,41.75,0.51
44,5,5,,49.4,0.47
44,5,6,56.5,56.75,0.47
44,6,4,,38.3,0.51
44,6,5,,46.78,0.48
44,6,6,,55.49,0.59
44,7,4,38,37.79,0.55
44,8,4,36,35.91,0.44
45,3,6,66.5,67.29,1.59
45,3,8,,83,1
45,4,6,60,60.12,0.28
45,5,6,55,54.9,0.36
46,1,2,59,67.4,2.22
46,2,2,,50.06,1.61
46,2,4,64,71.49,1.24
46,2,6,86,86.67,1.68
46,2,7,,94.32,1.47
46,2,8,,102.13,1.19
46,2,10,,116.75,0.99
46,3,6,76,75.1,1.85
46,4,6,61.5,61.53,0.39
47,1,1,,53.29,3.13
47,1,2,67,67.57,2.25
47,1,3,,84.35,1.35
47,1,4,100,99.42,1.04
47,1,5,109,108.93,0.39
47,1,6,115,115.26,0.37
47,1,7,122,121.85,0.32
47,1,8,128,128.15,0.41
47,1,9,,134.41,0.6
47,1,10,,140.54,0.75
47,1,11,,146.44,0.89
47,1,12,,152.13,1.04
47,2,2,,52.16,1.44
47,2,4,79,76.35,0.66
47,2,6,94,93.63,0.84
47,2,8,,107.15,0.61
47,3,4,67,58.99,1.17
47,3,6,75,75.72,1.64
47,3,8,,89.49,1.16
48,2,2,,54.54,1.22
48,2,3,,66.9,0.57
48,2,4,78,77.96,0.24
48,2,5,87,87.07,0.2
48,2,6,95,95.14,0.21
48,2,7,103,102.95,0.16
48,2,8,110,109.89,0.28
48,2,9,,115.79,0.4
48,2,10,,121.1,0.57
48,2,12,131,131.4,1.1
49,1,9,,143.11,0.98
49,1,10,,148.65,1.01
49,2,6,,98.92,0.87
49,2,7,,106.14,0.87
49,2,8,,112.73,0.84
49,3,3,,53.42,1.32
49,3,4,62,62.45,1.07
49,3,5,,71.4,0.81
49,3,6,80,79.56,0.9
49,3,7,,86.25,0.69
49,3,8,92,92.25,0.61
50,2,2,,66.47,2.59
50,2,3,,77.23,2.02
50,2,4,,86.87,1.46
50,2,5,,95.19,1.21
50,2,6,,102.53,1.35
50,2,7,,109.34,1.51
50,2,8,,115.87,1.53
50,2,9,,122.23,1.47
50,2,10,,128.47,1.38
50,4,4,55,54.85,0.36
50,4,5,62,62.14,0.22
50,4,6,69,68.92,0.15
50,4,7,75,75.02,0.1
50,4,8,81,80.98,0.14
51,3,3,,66.81,2.67
51,3,4,76,75.19,1.66
51,3,5,80,80.62,1.39
51,3,6,76,86.1,2.13
51,3,7,,92.1,2.31
51,3,8,,98.42,2.16
51,3,9,,105,1.91
51,3,10,,111.77,1.67
51,5,3,,38.33,1.4
51,5,5,,54.04,1.02
51,5,6,60,60.48,1.16
52,-2,6,221,221.47,1.47
52,4,2,,42.01,3.91
52,4,3,52,52.93,2.17
52,4,4,66,64.96,2.26
52,4,5,,73.39,3.2
52,4,6,97,79.17,3.18
52,4,7,,84.31,2.79
52,4,8,,89.77,2.34
52,4,9,,95.78,1.95
52,4,10,,102.24,1.64
52,5,5,,57.8,1.65
52,5,6,,64.68,1.76
52,6,4,43,42.83,0.48
52,6,5,,49.64,0.35
52,6,6,56,56.05,0.31
52,6,7,,62.4,0.42
53,-1,6,220,219.49,1.44
53,5,3,44,44.49,1.32
53,5,4,,53.53,1.85
53,5,5,,61.95,2.46
53,5,6,95,69.37,2.64
53,5,7,,76.08,2.47
53,5,8,,82.55,2.15
53,5,9,,89.07,1.82
53,7,4,42,41.87,0.47
53,7,5,,47.58,0.32
53,7,6,53,53.09,0.39
53,7,8,,64.67,0.85
54,8,4,40,39.5,1.22
54,8,6,48,48.47,1.27
55,1,1,,149.31,4.07
55,1,2,,153.84,3.06
55,1,3,,157.8,2.16
55,1,4,,161.25,1.49
55,1,5,,164.33,1.11
55,1,6,167,167.32,0.86
55,1,7,,170.57,0.57
55,1,8,174,174.13,0.3
55,1,9,178,177.87,0.18
55,1,10,181,181.17,0.23
55,1,11,185,184.85,0.3
55,1,12,188,188.28,0.63
55,1,13,,192.24,1.1
56,2,1,,97.16,3.8
56,2,2,,105.09,3.14
56,2,3,,113.18,2.51
56,2,4,,121.22,1.97
56,2,5,,128.7,1.52
56,2,6,135,134.51,1
56,2,7,138,138.04,0.32
56,2,8,142,141.89,0.2
56,2,9,147,146.87,0.17
56,2,10,152,152.04,0.1
56,2,11,157,156.92,0.12
56,2,12,161,161.04,0.17
57,2,6,,131.58,0.93
57,2,8,,138.33,0.32
57,2,9,,143.47,0.18
57,2,10,,148.94,0.12
57,2,12,,158.18,0.18
57,3,1,,72.85,2.47
57,3,2,,79.7,1.86
57,3,3,,86.36,1.29
57,3,4,,92.54,0.8
57,3,5,,98.01,0.39
57,3,6,103.2,103.27,0.13
57,3,7,110,109.68,0.22
57,3,8,116,116.13,0.09
57,3,9,121.6,121.67,0.07
57,3,10,127,127.07,0.09
57,3,11,,131.94,0.23
57,3,12,136,136.19,0.45
58,2,6,,128.75,0.9
58,3,2,,77.63,1.8
58,3,4,,90.39,0.74
58,3,5,,95.84,0.34
58,3,6,101,101.03,0.09
58,3,7,107,107.39,0.22
58,3,8,114.3,114.19,0.06
58,3,9,119.6,119.67,0.04
58,3,10,125,124.88,0.1
58,3,11,,129.38,0.22
58,3,12,134,133.42,0.41
58,4,6,87,86.8,0.44
58,4,7,,92.25,0.28
58,4,8,97,97.26,0.26
58,4,9,,102.29,0.23
58,4,10,107,106.87,0.27
58,4,12,114,114.15,0.38
59,2,6,,126.08,0.91
59,2,8,,131.99,0.62
59,2,12,,152.71,0.28
59,3,1,,68.97,2.36
59,3,2,,75.67,1.75
59,3,3,,82.25,1.19
59,3,4,,88.43,0.7
59,3,5,,93.99,0.31
59,3,6,99,99.3,0.1
59,3,7,,105.61,0.22
59,3,8,112.6,112.47,0.06
59,3,9,117.9,117.87,0.03
59,3,10,,122.8,0.13
59,3,11,,126.88,0.28
59,3,12,,130.43,0.47
59,4,5,,78.59,0.47
59,4,6,85,84.98,0.38
59,4,7,,90.59,0.23
59,4,8,96,95.81,0.2
60,2,8,129,129.65,0.6
60,2,9,135,135.19,0.22
60,2,12,,150.18,0.33
60,3,1,,67.16,2.32
60,3,2,,73.82,1.71
60,3,3,,80.39,1.15
60,3,4,,86.65,0.67
60,3,5,,92.43,0.29
60,3,6,98.3,98.06,0.09
60,3,7,,104.25,0.16
60,3,8,110.9,110.85,0.04
60,3,9,116.3,116.18,0.05
60,3,10,,120.87,0.15
60,3,11,,124.56,0.34
60,3,12,127,127.64,0.57
61,3,6,97,96.95,0.05
61,3,8,109.3,109.33,0.02
61,3,9,114.4,114.59,0.05
62,2,6,,118.88,1.05
62,2,7,122,122.15,0.2
62,2,8,127,126.6,0.25
62,2,9,132,131.78,0.11
62,3,1,,63.83,2.23
62,3,2,,70.45,1.63
62,3,3,,77.07,1.08
62,3,4,,83.54,0.61
62,3,5,,89.77,0.25
62,3,6,95.8,95.86,0.04
62,3,7,102,102.04,0.05
62,3,8,107.9,107.93,0.01
62,3,9,113.2,113.19,0.04
62,3,10,,117.58,0.15
62,3,11,,120.84,0.37
62,3,12,124,123.78,0.62
63,2,1,,82.33,3.36
63,2,2,,89.33,2.71
63,2,5,,110.49,1.38
63,2,6,117,116.27,0.99
63,2,7,120,119.99,0.16
63,2,8,125,124.94,0.18
63,2,9,130,130.1,0.1
63,2,10,135,134.99,0.09
63,2,11,,139.45,0.23
63,2,12,,143.72,0.45
63,3,1,,62.3,2.18
63,3,2,,68.93,1.59
63,3,4,,82.15,0.59
63,3,5,,88.54,0.23
63,3,6,94.7,94.77,0.04
63,3,7,101,100.95,0.06
63,3,8,106.6,106.61,0.01
63,3,9,112,111.92,0.03
63,3,10,,116.24,0.14
63,3,11,,119.43,0.38
63,3,12,,122.38,0.7
64,2,8,,123.02,0.16
64,3,1,,60.87,2.14
64,3,2,,67.5,1.55
64,3,4,,80.84,0.56
64,3,5,,87.34,0.22
64,3,6,93.8,93.64,0.05
64,3,7,100,99.71,0.09
64,3,8,105.3,105.31,0.01
64,3,9,110.7,110.69,0.02
64,3,10,,115.03,0.13
64,3,12,,121.17,0.78
65,3,1,,59.52,2.1
65,3,2,,66.17,1.51
65,3,5,,86.16,0.2
65,3,6,92.3,92.41,0.04
65,3,7,98,98.28,0.09
65,3,8,104,104,0.01
65,3,9,109.5,109.49,0.01
65,3,10,,113.93,0.14
65,3,12,,120.11,0.85
65,4,5,,70.11,0.59
65,4,6,76,76.26,0.55
65,4,7,,82.36,0.39
65,4,8,88,88.12,0.33
65,4,12,,104.23,0.68
66,2,6,107,107.52,0.59
66,2,7,113,113.11,0.17
66,2,8,119,119.14,0.17
66,3,2,,64.92,1.47
66,3,3,,71.67,0.94
66,3,4,,78.42,0.5
66,3,5,,85.01,0.18
66,3,6,91.2,91.2,0.02
66,3,7,97,96.94,0.07
66,3,8,102.7,102.71,0.01
66,3,9,108.3,108.32,0.01
66,3,10,,112.9,0.15
66,3,12,,119.17,0.89
67,3,2,,63.75,1.44
67,3,3,,70.53,0.91
67,3,4,,77.3,0.48
67,3,5,,83.91,0.17
67,3,6,90.1,90.07,0.02
67,3,7,,95.69,0.04
67,3,8,101.5,101.51,0.01
67,3,9,107.2,107.22,0.01
67,3,10,112,111.91,0.16
67,3,11,,115.31,0.48
67,3,12,,118.33,0.92
68,3,2,,62.66,1.41
68,3,3,,69.46,0.89
68,3,5,,82.85,0.16
68,3,6,89,88.98,0.02
68,3,7,94.5,94.54,0.03
68,3,8,100.4,100.41,0.01
68,3,9,106.2,106.18,0.01
68,3,10,,110.94,0.17
69,2,6,103,102.92,0.16
69,2,7,109,108.92,0.07
69,2,8,,114.99,0.1
69,2,12,,135.28,0.76
69,3,2,,61.64,1.38
69,3,3,,68.45,0.87
69,3,6,88,87.92,0.04
69,3,7,,93.49,0.03
69,3,8,99.4,99.4,0.01
69,3,9,105.2,105.18,0.01
69,3,10,,109.97,0.17
69,3,12,,116.81,0.96
70,2,6,102,102,0.12
70,2,7,108,108,0.06
70,2,8,114,114,0.08
70,2,12,,134.26,0.8
70,3,2,,60.67,1.35
70,3,3,,67.5,0.86
70,3,5,,80.85,0.19
70,3,6,86.8,86.89,0.08
70,3,7,92.5,92.55,0.05
70,3,8,98.5,98.48,0.02
70,3,9,104.2,104.22,0.02
70,3,10,,109.03,0.18
70,3,12,,116.11,0.97
71,3,2,,57.47,1.27
71,3,3,,64.64,0.89
71,3,5,,79.03,0.73
71,3,6,86.1,85.75,0.7
71,3,7,,91.76,0.41
71,3,8,97.7,97.65,0.2
71,3,9,103.2,103.17,0.2
71,3,10,,107.89,0.29
72,4,4,58,57.96,0.38
72,4,6,71,70.83,0.33
72,4,7,76,76.29,0.38
72,4,8,83,82.64,0.65
73,3,6,72,72.64,1.71
73,4,5,,61.91,0.27
73,4,6,68,68.04,0.2
73,5,4,,49.62,0.43
73,5,5,,57.36,0.32
73,5,6,64,63.9,0.21
73,5,7,69,69.11,0.25
73,5,8,74,74.09,0.37
74,4,6,66,65.76,0.47
74,5,6,62,61.87,0.27
74,5,7,,67.57,0.33
74,6,3,,33.67,0.66
74,6,4,42,42.15,0.46
74,6,5,51,51.06,0.33
74,6,6,60,59.59,0.75
74,6,7,,66.31,1.01
74,6,8,,71.87,1.1
75,4,4,,49.27,0.72
75,4,6,63,63.11,0.39
75,5,4,,45.02,0.73
75,5,6,58,58.25,0.45
75,6,4,,40.98,0.75
75,6,5,,48.36,0.6
75,6,6,55,55.3,0.58
75,7,4,38,38.25,0.64
75,7,5,,45.79,0.42
75,7,6,53,53.12,0.35
75,7,8,,66.58,0.86
76,4,6,63,62.74,0.59
76,5,6,57.5,57.45,0.2
76,6,5,49,48.6,0.85
76,6,6,54.5,54.52,0.29
76,7,5,,46.27,0.51
76,7,6,52.5,52.6,0.34
76,8,4,39,38.32,2.04
77,3,6,68,68.75,2.34
77,4,4,,47.85,1.2
77,4,6,62.5,62.32,0.48
77,5,6,57,57.08,0.19
77,6,6,,54.57,0.45
78,2,2,,60.17,2.02
78,2,4,60,82.27,1.92
78,2,6,80,98.43,2.11
78,2,7,,104.68,2.19
78,2,8,,110.47,2.19
78,4,6,62.5,62.9,0.88
78,5,6,57,56.92,0.23
78,6,6,,53.96,0.57
79,1,2,,81.48,2.06
79,1,6,137,136.27,2.16
79,2,3,,79.1,1.44
79,3,4,68,68.5,1.29
79,3,5,,77.22,1.35
79,3,6,85,84.27,2.01
79,3,8,,92.97,1.92
79,3,10,,102.91,1.84
79,3,12,,114.18,1.88
79,5,6,57,57.11,0.36
80,1,1,,67.84,2.55
80,1,2,,81.99,2.07
80,1,3,97,97.34,1.77
80,1,4,,113.19,1.55
80,1,5,,126.9,1.51
80,1,6,119,137.03,1.53
80,1,7,,143.82,1.28
80,1,8,,148.48,1.08
80,1,9,,152.13,1.18
80,1,10,,155.4,1.25
80,2,2,69,69.31,1.1
80,2,3,,83.7,1.7
80,2,4,96,95.13,2.24
80,2,5,,100.37,1.97
80,2,6,102,103.04,2.41
80,2,7,,107.81,1.7
80,2,8,114,113.66,0.88
80,2,9,,119.35,1.31
80,2,10,,124.73,1.6
80,2,12,,134.94,1.56
81,1,1,,75.91,2.97
81,1,2,,90.65,2.52
81,1,3,,106.8,2.14
81,1,4,,123.3,1.94
81,1,5,,138.2,1.98
81,1,6,150,149.35,1.88
81,1,7,,155.58,1.12
81,1,8,159,159.14,0.51
81,1,9,,161.87,0.68
81,1,10,,164.44,0.71
81,1,11,,167.07,0.61
81,1,12,170,169.89,0.58
81,3,1,,44.59,2.04
81,3,2,,55.41,1.35
81,3,3,,65.82,0.78
81,3,4,75,75.07,0.46
81,3,5,,82.64,0.34
81,3,6,88.5,88.45,0.32
81,3,7,,93.28,0.45
81,3,8,98,98.3,0.72
81,3,9,,104.04,0.94
81,3,12,,121.38,1.4
82,2,1,,63.95,3.61
82,2,2,,75.64,3.45
82,2,3,,87.42,3.21
82,2,4,98,99.01,2.55
82,2,5,,110.15,1.45
82,2,6,119,118.46,0.9
82,2,7,123,123.36,0.5
82,2,8,129,128.99,0.25
82,2,9,135,134.91,0.16
82,2,10,140,140.09,0.13
82,2,11,145,144.91,0.17
82,2,12,149,149.22,0.45
82,4,4,65,65.21,0.75
82,4,5,73,72.61,0.65
82,4,6,77.5,78.07,0.98
82,4,8,94,93.42,1.49
83,3,1,,55.71,2.93
83,3,2,,66.12,2.31
83,3,3,,76.66,1.64
83,3,4,,86.79,1.01
83,3,5,96,95.74,0.58
83,3,6,103,103.09,0.32
83,3,7,,109.98,0.43
83,3,8,117,116.7,0.67
83,3,9,,122.76,0.79
