title,platform,year,developer
Metal Gear Solid V: Ground Zeroes,XONE,2014,Kojima Productions/Konami
Metal Gear Solid,GBC,2000,TOSE/Konami
Metal Slug X,PS,2001,SNK
Metal Gear Solid 2: Substance,PS2,2003,KCEJ/Konami
Metal Gear Solid HD Collection,VITA,2012,Armature Studio/Konami
Metal Slug 4 & 5,PS2,2005,BrezzaSoft/SNK Playmore
Metal Gear Solid V: The Phantom Pain,XONE,2015,Kojima Productions/Konami
Metal Slug Defense,IOS,2014,SNK Playmore
Metal Slug 1,IOS,2012,SNK Playmore
Metal Slug X,IOS,2013,SNK Playmore
Metal Slug Mobile,MOBI,2004,SNK Playmore/I-Play
Metal Slug 3,PS2,2004,SNK/Playmore
Metal Slug Anthology,WII,2006,Terminal Reality/SNK Playmore
Metal Gear Survive,PS4,2018,Konami
Metal Slug 3,X360,2008,SNK Playmore
Metal Gear Solid: Peace Walker,PSP,2010,Kojima Productions/Konami
Metal Gear Solid V: Ground Zeroes,PS3,2014,Kojima Productions/Konami
Metal Gear Solid,PS,1998,KCEJ/Konami
Metal Slug 7,DS,2008,SNK Playmore/Ignition Entertainment
Metal Gear Solid: Portable Ops,PSP,2006,Kojima Productions/Konami
Metal Slug Anthology,PS2,2007,Terminal Reality/SNK Playmore
Metal Gear Solid V: The Phantom Pain,PS4,2015,Kojima Productions/Konami
Metal Gear Solid V: Ground Zeroes,PC,2014,Kojima Productions/Konami
Metal Gear Solid: Touch,IOS,2009,Kojima Productions/Konami
Metal Gear Solid 2: Substance,XBOX,2002,KCEJ/Konami
Metal Gear Online,PS3,2008,Kojima Productions/Konami
Metal Gear Solid 3: Subsistence,PS2,2006,Aspect/Konami
Metal Gear Rising: Revengeance,PS3,2013,PlatinumGames/Konami
Metal Gear Survive,XONE,2018,Konami
Metal Gear Rising: Revengeance,X360,2013,PlatinumGames/Konami
