Puntuación estándar,17-19,20-29,30-39,40-49,50-59,60-69,70-79
146,25,,25,,,,
145,,,24,,,,25
144,24,,,,25,,
143,,,,,,25,
142,,,,,,,24
141,,,23,25,24,,
140,23,,,,,24,
139,,,,,,,23
138,,,,24,23,,
137,,,22,,,23,
136,22,25,,,,,22
135,,,,23,22,,
134,,,,,,22,
133,,,21,,,,21
132,21,24,,,,,
131,,,,22,21,21,
130,,,,,,,20
129,,23,20,,,,
128,20,,,21,20,20,
127,,,,,,,19
126,,22,,,,,
125,,,19,20,19,,
124,19,,,,,19,18
123,,21,,,,,
122,,,,19,18,,
121,,,18,,,18,17
120,18,20,,,,,
119,,,,,17,,
118,,,,18,,17,16
117,,19,17,,,,
116,17,,,,16,,
115,,,,17,,16,15
114,,18,,,,,
113,,,16,,15,,
112,16,,,16,,15,14
110,,17,,,,,
109,,,15,15,14,14,13
108,15,,,,,,
107,,16,,,,,
106,,,,14,13,13,12
105,,,14,,,,
104,14,15,,,,,
103,,,,,12,,11
102,,,,13,,12,
101,,14,13,,,,
100,13,,,,11,,10
99,,,,12,,11,
98,,13,,,,,
97,,,12,,10,,9
96,12,,,11,,10,
95,,12,,,,,
94,,,,,9,,8
93,,,11,10,,9,
92,11,11,,,,,
91,,,,,8,,7
90,,,,,,8,
89,,,10,9,,,
88,10,10,,,,,6
87,,,,,7,7,
86,,,,8,,,
85,,9,9,,,,5
84,9,,,,6,6,
83,,,,7,,,
82,,8,,,,,4
81,8,,8,,5,5,
80,,,,6,,,
79,,7,,,,,3
78,,,7,,4,,
77,7,,,5,,4,
76,,6,,,,,2
75,,,,,3,,
74,,,6,,,3,
73,6,5,,4,,,1
72,,,,,2,,
71,,,,,,2,
70,,,5,3,,,0
69,5,4,,,,,
68,,,,,1,1,
67,,,,2,,,
66,,3,4,,,,
65,4,,,,0,0,
64,,,,1,,,
63,,2,,,,,
62,,,3,,,,
61,3,,,,,,
60,,1,,0,,,
58,,,2,,,,
57,2,0,,,,,
54,,,1,,,,
53,1,,,,,,
50,,,0,,,,
49,0,,,,,,
